FULLNAME;TICKER
2INTELL.xlsx;2it_y.xlsx
5THAVEN.xlsx;5ah_y.xlsx
AATHOLD.xlsx;ahl_y.xlsx
AB.xlsx;abe_y.xlsx
ABAK.xlsx;abk_y.xlsx
ABCDAT.xlsx;abc_y.xlsx
ABMSOLID.xlsx;abm_y.xlsx
ABPOL.xlsx;abp_y.xlsx
ABSINV.xlsx;ain_y.xlsx
AC.xlsx;acg_y.xlsx
ACART.xlsx;aca_y.xlsx
ACE.xlsx;ace_y.xlsx
ACREBIT.xlsx;acr_y.xlsx
ACTION.xlsx;act_y.xlsx
ADFORM.xlsx;adf_y.xlsx
ADIUVO.xlsx;adv_y.xlsx
ADMASSIV.xlsx;amg_y.xlsx
ADMIRAL.xlsx;adm_y.xlsx
ADSIC.xlsx;icd_y.xlsx
ADUMA.xlsx;adu_y.xlsx
ADVADIS.xlsx;ads_y.xlsx
ADVANCE.xlsx;aos_y.xlsx
ADVERTIG.xlsx;ave_y.xlsx
AEDES.xlsx;aed_y.xlsx
AERFIN.xlsx;aer_y.xlsx
AFORTI.xlsx;afh_y.xlsx
AGEROZIN.xlsx;ari_y.xlsx
AGORA.xlsx;ago_y.xlsx
AGROLIGA.xlsx;agl_y.xlsx
AGROMA.xlsx;agm_y.xlsx
AGROMEP.xlsx;agp_y.xlsx
AGROPUBL.xlsx;agt_y.xlsx
AGROTOUR.xlsx;agr_y.xlsx
AGROWILL.xlsx;awg_y.xlsx
AGTES.xlsx;ags_y.xlsx
AILLERON.xlsx;all_y.xlsx
AIRMAR.xlsx;air_y.xlsx
AIRWAY.xlsx;awm_y.xlsx
AITON.xlsx;ait_y.xlsx
AKCEPT.xlsx;afc_y.xlsx
ALCHEMIA.xlsx;alc_y.xlsx
ALDA.xlsx;ald_y.xlsx
ALEJASAM.xlsx;als_y.xlsx
ALFASTAR.xlsx;alf_y.xlsx
ALIOR.xlsx;alr_y.xlsx
ALKAL.xlsx;alk_y.xlsx
ALMA.xlsx;alm_y.xlsx
ALTERCO.xlsx;alt_y.xlsx
ALTUSTFI.xlsx;ali_y.xlsx
